#Radius	 Grav acc
4.4487010000e+06	9.9198968742e+00
4.4614940000e+06	9.9171353274e+00
4.4742860000e+06	9.9144920891e+00
4.4870780000e+06	9.9119525346e+00
4.4998700000e+06	9.9095191650e+00
4.5126620000e+06	9.9071902732e+00
4.5254550000e+06	9.9049598512e+00
4.5382470000e+06	9.9028392101e+00
4.5510390000e+06	9.9008139109e+00
4.5638310000e+06	9.8988865945e+00
4.5766230000e+06	9.8970557185e+00
4.5894160000e+06	9.8953153957e+00
4.6022080000e+06	9.8936768344e+00
4.6150000000e+06	9.8921258749e+00
4.6277920000e+06	9.8906651818e+00
4.6405840000e+06	9.8892932626e+00
4.6533770000e+06	9.8880044473e+00
4.6661690000e+06	9.8868098901e+00
4.6789610000e+06	9.8856955944e+00
4.6917530000e+06	9.8846643469e+00
4.7045450000e+06	9.8837146960e+00
4.7173380000e+06	9.8828410721e+00
4.7301300000e+06	9.8820546804e+00
4.7429220000e+06	9.8813416760e+00
4.7557140000e+06	9.8807048541e+00
4.7685060000e+06	9.8801429040e+00
4.7812990000e+06	9.8796503462e+00
4.7940910000e+06	9.8792382744e+00
4.8068830000e+06	9.8788930946e+00
4.8196750000e+06	9.8786176561e+00
4.8324680000e+06	9.8784066410e+00
4.8452600000e+06	9.8782710946e+00
4.8580520000e+06	9.8781975212e+00
4.8708440000e+06	9.8781887556e+00
4.8836360000e+06	9.8782436289e+00
4.8964290000e+06	9.8783569515e+00
4.9092210000e+06	9.8785396537e+00
4.9220130000e+06	9.8787784233e+00
4.9348050000e+06	9.8790761918e+00
4.9475970000e+06	9.8794318607e+00
4.9603900000e+06	9.8798403076e+00
4.9731820000e+06	9.8803123998e+00
4.9859740000e+06	9.8808350014e+00
4.9987660000e+06	9.8814110818e+00
5.0115580000e+06	9.8820395543e+00
5.0243510000e+06	9.8827154113e+00
5.0371430000e+06	9.8834495081e+00
5.0499350000e+06	9.8842288258e+00
5.0627270000e+06	9.8850563669e+00
5.0755190000e+06	9.8859311051e+00
5.0883120000e+06	9.8868481408e+00
5.1011040000e+06	9.8878182096e+00
5.1138960000e+06	9.8888285112e+00
5.1266880000e+06	9.8898820754e+00
5.1394810000e+06	9.8909740307e+00
5.1522730000e+06	9.8921150593e+00
5.1650650000e+06	9.8932924887e+00
5.1778570000e+06	9.8945092619e+00
5.1906490000e+06	9.8957644525e+00
5.2034420000e+06	9.8970533933e+00
5.2162340000e+06	9.8983866982e+00
5.2290260000e+06	9.8997517973e+00
5.2418180000e+06	9.9011516543e+00
5.2546100000e+06	9.9025853925e+00
5.2674030000e+06	9.9040483840e+00
5.2801950000e+06	9.9055511739e+00
5.2929870000e+06	9.9070813974e+00
5.3057790000e+06	9.9086420349e+00
5.3185710000e+06	9.9102322027e+00
5.3313640000e+06	9.9118473611e+00
5.3441560000e+06	9.9134979849e+00
5.3569480000e+06	9.9151718042e+00
5.3697400000e+06	9.9168718130e+00
5.3825320000e+06	9.9185971710e+00
5.3953250000e+06	9.9203434224e+00
5.4081170000e+06	9.9221209712e+00
5.4209090000e+06	9.9239176920e+00
5.4337010000e+06	9.9257365892e+00
5.4464940000e+06	9.9275732173e+00
5.4592860000e+06	9.9294378703e+00
5.4720780000e+06	9.9313185898e+00
5.4848700000e+06	9.9332183859e+00
5.4976620000e+06	9.9351364893e+00
5.5104550000e+06	9.9370685314e+00
5.5232470000e+06	9.9390247343e+00
5.5360390000e+06	9.9409932251e+00
5.5488310000e+06	9.9429770193e+00
5.5616230000e+06	9.9449754368e+00
5.5744160000e+06	9.9469841290e+00
5.5872080000e+06	9.9490132453e+00
5.6000000000e+06	9.9510510494e+00
5.6000000000e+06	9.9986238913e+00
5.6144290000e+06	9.9472972976e+00
5.6288570000e+06	9.9496392068e+00
5.6432860000e+06	9.9519867733e+00
5.6577140000e+06	9.9543534707e+00
5.6721430000e+06	9.9567239129e+00
5.6865710000e+06	9.9591114713e+00
5.7010000000e+06	9.9615007819e+00
5.7010000000e+06	1.0014401977e+01
5.7185000000e+06	9.9532027541e+00
5.7360000000e+06	9.9505553565e+00
5.7535000000e+06	9.9480505950e+00
5.7710000000e+06	9.9456863806e+00
5.7710000000e+06	1.0003857257e+01
5.7843330000e+06	9.9577922382e+00
5.7976670000e+06	9.9560732646e+00
5.8110000000e+06	9.9542879250e+00
5.8243330000e+06	9.9524259942e+00
5.8376670000e+06	9.9504871710e+00
5.8510000000e+06	9.9484813504e+00
5.8643330000e+06	9.9463984226e+00
5.8776670000e+06	9.9442380765e+00
5.8910000000e+06	9.9420101202e+00
5.9043330000e+06	9.9397045599e+00
5.9176670000e+06	9.9373210732e+00
5.9310000000e+06	9.9348693825e+00
5.9443330000e+06	9.9323396084e+00
5.9576670000e+06	9.9297314181e+00
5.9710000000e+06	9.9270544470e+00
5.9710000000e+06	9.9686695258e+00
5.9848460000e+06	9.9225976516e+00
5.9986920000e+06	9.9176334716e+00
6.0125380000e+06	9.9127027657e+00
6.0263850000e+06	9.9078014407e+00
6.0402310000e+06	9.9029382756e+00
6.0540770000e+06	9.8981033784e+00
6.0679230000e+06	9.8932989593e+00
6.0817690000e+06	9.8885243622e+00
6.0956150000e+06	9.8837788812e+00
6.1094620000e+06	9.8790585266e+00
6.1233080000e+06	9.8743719766e+00
6.1371540000e+06	9.8697095243e+00
6.1510000000e+06	9.8650733864e+00
6.1510000000e+06	9.9049050392e+00
6.1650000000e+06	9.8599703367e+00
6.1790000000e+06	9.8545040016e+00
6.1930000000e+06	9.8491814487e+00
6.2070000000e+06	9.8440014626e+00
6.2210000000e+06	9.8389628999e+00
6.2350000000e+06	9.8340645720e+00
6.2490000000e+06	9.8293052454e+00
6.2630000000e+06	9.8246837584e+00
6.2770000000e+06	9.8201989621e+00
6.2910000000e+06	9.8158497203e+00
6.2910000000e+06	9.8553532109e+00
6.3095330000e+06	9.7975419551e+00
6.3280670000e+06	9.7922133692e+00
6.3466000000e+06	9.7871211411e+00
6.3466000000e+06	9.8394687554e+00
6.3560000000e+06	9.8103867500e+00
6.3560000000e+06	9.8332016865e+00
6.3680000000e+06	9.7961767993e+00
6.3680000000e+06	9.8222786859e+00
6.3710000000e+06	9.8130305621e+00
